scenariusz,iteracja,udzial_ciezarowek,tau_osobowki,tau_ciezarowki,liczba_pojazdow_exit,sredni_czas_opoznienia_s,calkowity_czas_symulacji_s
Rondo,347,0.0071,1.2548,3.3548,1540.0,1018.32,5850.0
Rondo,348,0.0768,1.0618,3.1618,1539.0,1293.12,7062.0
Rondo,349,0.0661,2.1225,4.2225,1537.0,1703.26,8380.0
Rondo,350,0.0787,2.3698,4.4698,1540.0,1865.25,8771.0
Rondo,351,0.1297,2.4698,4.5698,1542.0,2099.3,9683.0
Rondo,352,0.0345,1.1657,3.2657,1539.0,1119.37,6259.0
Rondo,353,0.0825,2.3546,4.4546,1542.0,1867.18,8880.0
Rondo,354,0.0628,2.1766,4.2766,1546.0,1709.14,8367.0
Rondo,355,0.0135,1.5135,3.6135,1538.0,1151.32,6447.0
Rondo,356,0.1314,1.343,3.443,1539.0,1667.16,8177.0
Rondo,357,0.0987,1.2368,3.3368,1540.0,1504.56,7663.0
Rondo,358,0.1077,2.1463,4.2463,1537.0,1937.58,9175.0
Rondo,359,0.1187,2.4706,4.5706,1538.0,2101.56,9576.0
Rondo,360,0.0386,1.2392,3.3392,1542.0,1164.11,6445.0
Rondo,361,0.0696,1.5597,3.6597,1537.0,1424.19,7462.0
Rondo,362,0.1131,1.8193,3.9193,1543.0,1761.08,8671.0
Rondo,363,0.038,2.447,4.547,1541.0,1725.23,8176.0
Rondo,364,0.0108,1.6273,3.7273,1542.0,1201.04,6750.0
Rondo,365,0.053,2.1024,4.2024,1541.0,1640.44,8271.0
Rondo,366,0.0549,1.5923,3.6923,1538.0,1398.6,7267.0
Rondo,367,0.0314,1.0756,3.1756,1542.0,1061.33,6058.0
Rondo,368,0.0966,1.6226,3.7226,1540.0,1599.74,8170.0
Rondo,369,0.0776,1.5532,3.6532,1541.0,1535.0,7869.0
Rondo,370,0.0341,1.8225,3.9225,1538.0,1390.35,7265.0
Rondo,371,0.1473,1.365,3.465,1541.0,1751.12,8479.0
Rondo,372,0.0625,1.7129,3.8129,1545.0,1478.18,7566.0
Rondo,373,0.0487,1.5983,3.6983,1540.0,1364.95,7264.0
Rondo,374,0.0417,1.3352,3.4352,1543.0,1201.65,6649.0
Rondo,375,0.0999,1.2851,3.3851,1540.0,1491.85,7758.0
Rondo,376,0.1034,1.5268,3.6268,1542.0,1637.95,8169.0
Rondo,377,0.0837,1.0564,3.1564,1540.0,1264.02,6965.0
Rondo,378,0.1144,1.9246,4.0246,1542.0,1792.98,8667.0
Rondo,379,0.1007,1.3424,3.4424,1537.0,1482.36,7663.0
Rondo,380,0.0027,1.0085,3.1085,1541.0,891.93,5242.0
Rondo,381,0.129,1.4952,3.5952,1540.0,1704.33,8375.0
Rondo,382,0.0864,1.6906,3.7906,1539.0,1590.29,8074.0
Rondo,383,0.0029,1.1336,3.2336,1540.0,938.03,5447.0
Rondo,384,0.1091,1.8058,3.9058,1540.0,1729.57,8366.0
Rondo,385,0.0855,1.4851,3.5851,1538.0,1494.61,7866.0
Rondo,386,0.067,2.0631,4.1631,1538.0,1675.79,8269.0
Rondo,387,0.0798,2.3877,4.4877,1540.0,1870.41,8784.0
Rondo,388,0.0921,1.2676,3.3676,1541.0,1425.62,7367.0
Rondo,389,0.1338,1.6686,3.7686,1544.0,1819.35,8871.0
Rondo,390,0.1496,1.9216,4.0216,1541.0,1973.82,9385.0
Rondo,391,0.1475,2.4716,4.5716,1541.0,2232.0,9983.0
Rondo,392,0.1437,1.9796,4.0796,1536.0,1986.54,9475.0
Rondo,393,0.0351,2.3991,4.4991,1539.0,1667.33,8077.0
Rondo,394,0.0955,1.6005,3.7005,1538.0,1612.98,8162.0
Rondo,395,0.1306,2.361,4.461,1541.0,2147.12,9789.0
Rondo,396,0.0848,1.7151,3.8151,1539.0,1623.58,8073.0
Rondo,397,0.0347,2.0922,4.1922,1539.0,1567.9,7875.0
Rondo,398,0.1008,1.1235,3.2235,1537.0,1409.93,7360.0
Rondo,399,0.0859,2.4415,4.5415,1538.0,1948.7,8984.0
Rondo,400,0.0253,1.836,3.936,1541.0,1335.48,7056.0
Rondo,401,0.072,1.2248,3.3248,1541.0,1338.97,7066.0
Rondo,402,0.046,1.2634,3.3634,1537.0,1215.58,6647.0
Rondo,403,0.0555,1.8956,3.9956,1538.0,1509.15,7672.0
Rondo,404,0.0661,1.7448,3.8448,1537.0,1510.6,7669.0
Rondo,405,0.0836,1.3823,3.4823,1540.0,1472.8,7569.0
Rondo,406,0.0923,2.0481,4.1481,1541.0,1784.24,8678.0
Rondo,407,0.0806,1.06,3.16,1538.0,1312.9,6865.0
Rondo,408,0.0031,1.6827,3.7827,1540.0,1179.52,6462.0
Rondo,409,0.0079,1.7836,3.8836,1539.0,1230.12,6647.0
